pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group
Pen 4,230227_230406,10,2023-03-13,0.8519553950192512,0.14804460498074876,0.7039107900385023,outbreak
Pen 4,230515_230621,0,2023-06-17,0.6162016364048765,0.3837983635951236,0.23240327280975284,outbreak
Pen 4,230515_230621,1,2023-06-16,0.6045612907468638,0.3954387092531362,0.20912258149372775,outbreak
Pen 4,230515_230621,2,2023-06-15,0.6084025968166386,0.3915974031833615,0.216805193633277,outbreak
Pen 4,230515_230621,3,2023-06-14,0.6008524043425236,0.3991475956574764,0.20170480868504725,outbreak
Pen 4,230515_230621,4,2023-06-13,0.627057943624666,0.37294205637533406,0.254115887249332,outbreak
Pen 4,230515_230621,5,2023-06-12,0.6636394077847889,0.33636059221521114,0.32727881556957783,outbreak
Pen 4,230515_230621,6,2023-06-11,0.7095588494532806,0.29044115054671943,0.4191176989065612,outbreak
Pen 4,230515_230621,7,2023-06-10,0.7647778056244343,0.23522219437556569,0.5295556112488686,outbreak
Pen 4,230515_230621,8,2023-06-09,0.8231116056238785,0.17688839437612144,0.6462232112477572,outbreak
Pen 4,230515_230621,9,2023-06-08,0.8734171742819566,0.12658282571804333,0.7468343485639134,outbreak
Pen 4,230515_230621,10,2023-06-07,0.8848595467660084,0.11514045323399147,0.7697190935320171,outbreak
Pen 5,220725_220831,0,2022-08-23,0.31551272712782824,0.6844872728721718,-0.3689745457443436,outbreak
Pen 5,220725_220831,1,2022-08-22,0.358755662910268,0.641244337089732,-0.28248867417946405,outbreak
Pen 5,220725_220831,2,2022-08-21,0.5161662902350749,0.48383370976492507,0.032332580470149884,outbreak
Pen 5,220725_220831,3,2022-08-20,0.6883956757147537,0.3116043242852462,0.3767913514295076,outbreak
Pen 5,220725_220831,4,2022-08-19,0.8609757548407201,0.13902424515927983,0.7219515096814403,outbreak
Pen 5,220725_220831,5,2022-08-18,0.8830750364692911,0.11692496353070886,0.7661500729385823,outbreak
Pen 5,220725_220831,6,2022-08-17,0.8833262342248681,0.11667376577513189,0.7666524684497361,outbreak
